kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie
00EU85;Personenauto;AUDI;100 L;20060929;20130803;Niet geregistreerd;ORANJE;Niet geregistreerd;4;1046;1146;19750123;19750123;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;0;0;0.00;268;Nee;Nee;Nee;0;2005;Logisch;00;Ja;2006-09-29T00:00:00.000;2013-08-03T00:00:00.000;1975-01-23T00:00:00.000;1975-01-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
00GBD8;Personenauto;AUDI;AUDI A3 CABRIOLET;20230905;20161013;cabriolet;ZWART;Niet geregistreerd;4;1430;1530;20080523;20080523;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;1955;0;0.08;258;Nee;Nee;Nee;3355;2022;Logisch;00;Ja;2023-09-05T00:00:00.000;2016-10-13T00:00:00.000;2008-05-23T00:00:00.000;2008-05-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12174;4;1798;1955;750;1400;49356;8P;e1*2001/116*0456*02;KBZBF1;FD62E011R8P600GG;0;D;;;;;
00GBD9;Personenauto;AUDI;AUDI A5;20230529;20210728;coupe;GRIJS;Niet geregistreerd;6;1470;1570;20080529;20080529;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;1995;0;0.12;276;Nee;Nee;Nee;3725;2023;Logisch;00;Ja;2023-05-29T00:00:00.000;2021-07-28T00:00:00.000;2008-05-29T00:00:00.000;2008-05-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;19218;4;3197;1995;750;1700;76214;B8;e1*2001/116*0430*06;CCALAF1;FAVW0011R8T60;0;D;;;;;
00GBV7;Personenauto;AUDI;AUDI A4;20230715;20210716;stationwagen;GRIJS;Niet geregistreerd;4;1485;1585;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2080;0;0.07;282;Nee;Nee;Nee;3450;2022;Logisch;00;Ja;2023-07-15T00:00:00.000;2021-07-16T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;13326;5;1798;2080;750;1300;56842;B8;e1*2001/116*0430*06;ACABBF1;FAVW0020R8K60;0;B;;;;;
00GBV9;Personenauto;AUDI;AUDI TT;20230426;20200625;cabriolet;GRIJS;Niet geregistreerd;6;1465;1565;20070308;20080528;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1810;0;0.12;246;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-04-26T00:00:00.000;2020-06-25T00:00:00.000;2007-03-08T00:00:00.000;2008-05-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;17817;2;3189;1810;;;;;e1*2001/116*0369*03;RBUBQ1;QD62E067R8J91;0;F;;;;;
00GDJ3;Personenauto;AUDI;AUDI A4;20221222;20221117;stationwagen;GRIJS;Niet geregistreerd;4;1485;1585;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2080;0;0.07;282;Nee;Nee;Nee;3450;2022;Logisch;00;Ja;2022-12-22T00:00:00.000;2022-11-17T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10544;5;1798;2080;750;1300;46233;B8;e1*2001/116*0430*06;ACABBF1;FAVW0020R8K60;0;B;;;;;
00GHZ2;Personenauto;AUDI;AUDI A4;20230502;20230217;stationwagen;GRIJS;Niet geregistreerd;4;1445;1545;20080711;20080711;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2040;0;0.08;282;Nee;Nee;Nee;3410;2023;Logisch;00;Ja;2023-05-02T00:00:00.000;2023-02-17T00:00:00.000;2008-07-11T00:00:00.000;2008-07-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9858;5;1798;2040;750;1300;43617;B8;e1*2001/116*0430*07;ACDHBF1;FM6B1001R8K607MB;0;B;;;;;
00GJD4;Personenauto;AUDI;AUDI A6 ALLROAD QUATTRO;20230504;20220507;stationwagen;BEIGE;Niet geregistreerd;6;1775;1875;20070625;20081128;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2430;0;0.10;285;Nee;Nee;Nee;4330;2022;Geen oordeel;05;Ja;2023-05-04T00:00:00.000;2022-05-07T00:00:00.000;2007-06-25T00:00:00.000;2008-11-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;22372;5;3123;2430;750;1900;;;e1*2001/116*0254*15;HAUKQ1;QA6LF0R4FH00GG;0;F;;;;;
00GJL2;Personenauto;AUDI;AUDI A3 CABRIOLET;20230926;20150923;cabriolet;ZWART;Niet geregistreerd;4;1460;1560;20080806;20080806;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. voorwielscherm;1985;0;0.09;258;Nee;Nee;Nee;3385;2022;Logisch;00;Ja;2023-09-26T00:00:00.000;2015-09-23T00:00:00.000;2008-08-06T00:00:00.000;2008-08-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;15602;4;1984;1985;750;1400;61300;8P;e1*2001/116*0456*03;KCAWBF1;FD62E016R8P600GG;0;D;;;;;
00GJL5;Personenauto;AUDI;AUDI A4;20231022;20220921;sedan;GRIJS;Niet geregistreerd;4;1425;1525;20080801;20080801;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2000;0;0.08;282;Nee;Nee;Nee;3370;2022;Logisch;00;Ja;2023-10-22T00:00:00.000;2022-09-21T00:00:00.000;2008-08-01T00:00:00.000;2008-08-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10039;5;1798;2000;750;1300;44309;B8;e1*2001/116*0430*07;LCDHBF1;FAVW0020R8K607MB;0;B;;;;;
00GJT5;Personenauto;AUDI;AUDI A6;20230407;20191026;stationwagen;BLAUW;Niet geregistreerd;4;1595;1695;20080708;20080708;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2250;0;0.07;286;Nee;Nee;Nee;3760;2022;Logisch;00;Nee;2023-04-07T00:00:00.000;2019-10-26T00:00:00.000;2008-07-08T00:00:00.000;2008-07-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10951;5;1984;2250;750;1500;45818;;e1*2001/116*0254*17;ABPJF1;FAVJ00R4F600GG;0;B;;;;;
00GKR6;Personenauto;AUDI;AUDI A4;20230520;20180129;sedan;GRIJS;Niet geregistreerd;4;1385;1485;20080710;20080710;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;1960;0;0.08;282;Nee;Nee;Nee;3330;2022;Logisch;00;Ja;2023-05-20T00:00:00.000;2018-01-29T00:00:00.000;2008-07-10T00:00:00.000;2008-07-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8983;5;1798;1960;740;1300;40281;B8;e1*2001/116*0430*07;LCDHBF1;FM6B1001R8K607MB;0;B;;;;;
00GKR7;Personenauto;AUDI;AUDI TT;20230710;20170217;cabriolet;GRIJS;Niet geregistreerd;4;1290;1390;20080710;20080710;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;by schutbord;1635;0;0.11;246;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-07-10T00:00:00.000;2017-02-17T00:00:00.000;2008-07-10T00:00:00.000;2008-07-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;16203;2;1984;1635;;;64719;8J;e1*2001/116*0369*05;RBWAF1;FD62E016R8J600GG;0;D;;;;;
00GKT8;Personenauto;AUDI;AUDI TT;20230816;20080804;cabriolet;ZWART;Niet geregistreerd;4;1315;1415;20030326;20080804;Geen verstrekking in Open Data;Ja;2;4;0;0;404;0;M1;r. tegen schutbord onder motorkap;1640;0;0.09;241;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-08-16T00:00:00.000;2008-08-04T00:00:00.000;2003-03-26T00:00:00.000;2008-08-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11327;2;1781;1640;;;;;e1*98/14*0089*08;RAUQF1;FM52J036R8N60S2N;0;D;;;;;
00GLB1;Personenauto;AUDI;AUDI A3;20230515;20160427;hatchback;GRIJS;Niet geregistreerd;4;1240;1340;20050113;20090516;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;1825;0;0.06;258;Nee;Nee;Nee;3095;2022;Geen oordeel;05;Ja;2023-05-15T00:00:00.000;2016-04-27T00:00:00.000;2005-01-13T00:00:00.000;2009-05-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6966;5;1598;1825;670;1200;;;e1*2001/116*0217*07;LBLPF1;FM6AG005R8P60T4N;0;B;;;;;
00GLV9;Personenauto;AUDI;AUDI A4;20231012;20161027;sedan;GRIJS;Niet geregistreerd;4;1425;1525;20080723;20080723;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2000;0;0.08;282;Nee;Nee;Nee;3370;2022;Logisch;00;Ja;2023-10-12T00:00:00.000;2016-10-27T00:00:00.000;2008-07-23T00:00:00.000;2008-07-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;15569;5;1798;2000;750;1300;65394;B8;e1*2001/116*0430*07;LCDHBF1;FAVW0020R8K607MB;0;B;;;;;
00GNL7;Personenauto;AUDI;AUDI A3 CABRIOLET;20230308;20180607;cabriolet;ZWART;Niet geregistreerd;4;1410;1510;20080726;20080726;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. voorwielscherm;1935;0;0.10;258;Nee;Nee;Nee;3335;2022;Logisch;00;Ja;2023-03-08T00:00:00.000;2018-06-07T00:00:00.000;2008-07-26T00:00:00.000;2008-07-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12222;4;1984;1935;750;1400;48413;8P;e1*2001/116*0456*03;KCAWBF1;FM62Q011R8P600GG;0;D;;;;;
00GNT5;Personenauto;AUDI;AUDI TTS;20230630;20141211;coupe;ZWART;Niet geregistreerd;4;1390;1490;20080731;20080731;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;by schutbord;1815;0;0.13;246;Nee;Nee;Nee;0;2022;Logisch;00;Ja;2023-06-30T00:00:00.000;2014-12-11T00:00:00.000;2008-07-31T00:00:00.000;2008-07-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;19512;4;1984;1815;;;77336;8J;e1*2001/116*0369*05;CCDLBQ1;QD62E073R8J927MB;0;D;;;;;
00GNT6;Personenauto;AUDI;AUDI A3;20230528;20210529;stationwagen;ZWART;Niet geregistreerd;4;1305;1405;20080731;20080731;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. voorwielscherm;1890;0;0.10;258;Nee;Ja;Nee;3440;2022;Logisch;00;Ja;2023-05-28T00:00:00.000;2021-05-29T00:00:00.000;2008-07-31T00:00:00.000;2008-07-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9295;5;1984;1890;700;1500;39501;8P;e1*2001/116*0217*20;ACCZAF1;FD62E016R8P607MB;0;C;;;;;
00GRP2;Personenauto;AUDI;AUDI A3;20231219;20230110;stationwagen;ZWART;Niet geregistreerd;4;1305;1405;20080819;20080819;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. voorwielscherm;1890;0;0.10;258;Nee;Nee;Nee;3440;2022;Logisch;00;Ja;2023-12-19T00:00:00.000;2023-01-10T00:00:00.000;2008-08-19T00:00:00.000;2008-08-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11372;5;1984;1890;700;1500;47423;8P;e1*2001/116*0217*20;ACCZAF1;FD62E016R8P617MB;0;C;;;;;
00GSB2;Personenauto;AUDI;AUDI A4;20231024;20171024;stationwagen;ZWART;Niet geregistreerd;4;1485;1585;20080901;20080901;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2080;0;0.07;282;Nee;Nee;Nee;3450;2022;Logisch;00;Ja;2023-10-24T00:00:00.000;2017-10-24T00:00:00.000;2008-09-01T00:00:00.000;2008-09-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12196;5;1798;2080;750;1300;52532;B8;e1*2001/116*0430*07;ACDHBF1;FAVW0020R8K607MB;0;B;;;;;
00GSG1;Personenauto;AUDI;AUDI A3;20230830;20120927;stationwagen;ZWART;Niet geregistreerd;4;1260;1360;20080822;20080822;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1845;0;0.07;258;Nee;Nee;Nee;3115;2022;Logisch;00;Ja;2023-08-30T00:00:00.000;2012-09-27T00:00:00.000;2008-08-22T00:00:00.000;2008-08-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6788;5;1390;1845;680;1200;31911;8P;e1*2001/116*0217*20;SCAXCF1;FM6AJ008R8P600GG;0;B;;;;;
00GSJ1;Personenauto;AUDI;AUDI A4;20240115;20210212;stationwagen;GRIJS;Niet geregistreerd;6;1710;1810;20080826;20080826;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2305;0;0.10;282;Nee;Nee;Nee;4275;2023;Logisch;00;Ja;2024-01-15T00:00:00.000;2021-02-12T00:00:00.000;2008-08-26T00:00:00.000;2008-08-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;21016;5;2967;2305;750;1900;79557;B8;e1*2001/116*0430*07;ACCWAQ1;QA6B6012R8K617MB;0;E;;;;;
00GSL4;Personenauto;AUDI;AUDI A4;20231005;20180530;stationwagen;ZWART;Niet geregistreerd;4;1445;1545;20080904;20080904;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2040;0;0.08;282;Nee;Nee;Nee;3410;2022;Logisch;00;Ja;2023-10-05T00:00:00.000;2018-05-30T00:00:00.000;2008-09-04T00:00:00.000;2008-09-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12872;5;1798;2040;750;1300;55111;B8;e1*2001/116*0430*07;ACDHBF1;FM6B1001R8K607MB;0;B;;;;;
00GTD5;Personenauto;AUDI;AUDI A5;20230713;20190724;coupe;GRIJS;Niet geregistreerd;4;1410;1510;20080912;20080912;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. schroefveerkoker;1935;0;0.08;276;Nee;Nee;Nee;3265;2022;Logisch;00;Ja;2023-07-13T00:00:00.000;2019-07-24T00:00:00.000;2008-09-12T00:00:00.000;2008-09-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14927;4;1798;1935;750;1300;62948;B8;e1*2001/116*0430*07;CCABDF1;FAVW0020R8T600GG;0;B;;;;;
00GTD6;Personenauto;AUDI;AUDI A4;20231230;20140315;stationwagen;ZWART;Niet geregistreerd;4;1495;1595;20080905;20080905;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2090;0;0.07;282;Nee;Ja;Nee;3760;2022;Logisch;00;Ja;2023-12-30T00:00:00.000;2014-03-15T00:00:00.000;2008-09-05T00:00:00.000;2008-09-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11740;5;1968;2090;750;1600;48407;B8;e1*2001/116*0430*07;ACAGAF1;FM6B1002R8K607MB;0;B;;;;;
00GTK7;Personenauto;AUDI;AUDI A3;20231006;20161012;stationwagen;GRIJS;Niet geregistreerd;4;1335;1435;20080906;20080906;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1920;0;0.07;258;Nee;Nee;Nee;3390;2022;Logisch;00;Ja;2023-10-06T00:00:00.000;2016-10-12T00:00:00.000;2008-09-06T00:00:00.000;2008-09-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9203;5;1968;1920;710;1400;36763;8P;e1*2001/116*0217*20;SCBABF1;FM62Q008R8P607MB;0;C;;;;;
00GTZ6;Personenauto;AUDI;AUDI A3;20230914;20171219;stationwagen;ZWART;Niet geregistreerd;4;1335;1435;20080911;20080911;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. voorwielscherm;1920;0;0.07;258;Nee;Ja;Nee;3390;2022;Logisch;00;Ja;2023-09-14T00:00:00.000;2017-12-19T00:00:00.000;2008-09-11T00:00:00.000;2008-09-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9878;5;1968;1920;710;1400;39338;8P;e1*2001/116*0217*20;SCBABF1;FM62Q008R8P607MB;0;C;;;;;
00GVG7;Personenauto;AUDI;AUDI A3;20230621;20150213;hatchback;ROOD;Niet geregistreerd;4;1484;1584;20060228;20080912;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;1970;0;0.09;258;Nee;Nee;Nee;3540;2022;Geen oordeel;05;Ja;2023-06-21T00:00:00.000;2015-02-13T00:00:00.000;2006-02-28T00:00:00.000;2008-09-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9553;5;1984;1970;740;1500;;;e1*2001/116*0217*11;LBWAF1;FD62E016R8P61T40GGO;0;D;;;;;
00GVS3;Personenauto;AUDI;AUDI A6;20230712;20180810;stationwagen;ZWART;Niet geregistreerd;4;1595;1695;20081003;20081003;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2250;0;0.07;286;Nee;Nee;Nee;3760;2022;Logisch;00;Ja;2023-07-12T00:00:00.000;2018-08-10T00:00:00.000;2008-10-03T00:00:00.000;2008-10-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11970;5;1984;2250;750;1500;49704;;e1*2001/116*0254*17;ABPJF1;FAVJ00R4F600GG;0;B;;;;;
00GVS4;Personenauto;AUDI;AUDI A4;20230507;20200121;sedan;BLAUW;Niet geregistreerd;4;1435;1535;20080918;20080918;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2010;0;0.07;282;Nee;Nee;Nee;3780;2022;Logisch;00;Ja;2023-05-07T00:00:00.000;2020-01-21T00:00:00.000;2008-09-18T00:00:00.000;2008-09-18T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11748;5;1968;2010;750;1700;47311;;e1*2001/116*0430*04;LCAGAF1;FM6B1003R8K60;0;B;;;;;
00GXH5;Personenauto;AUDI;AUDI A4;20230930;20210219;sedan;ZWART;Niet geregistreerd;4;1385;1485;20080930;20080930;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;1960;0;0.06;282;Nee;Nee;Nee;3330;2022;Logisch;00;Nee;2023-09-30T00:00:00.000;2021-02-19T00:00:00.000;2008-09-30T00:00:00.000;2008-09-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;8155;5;1798;1960;740;1300;37124;B8;e1*2001/116*0430*08;LCDHAF1;FM6B1001R8K607MG;0;B;;;;;
